INDEX	DATE	PRODUCT	QTY_KL	COST_INR	INVOICE_NO	TRUCK_NO	OCR_DISCREPANCY_FLAGS
------------------------------------------------------------------------------------------------------------------------
1	2024-11-09	Diesel	12	1062012.27	202513238060340	RJ19GF3914	invoice total unclear; bill total calculated from item totals; bottom total OCR unclear
2	2024-11-10	Petrol	8	813244.6	202513298050647	RJ19GF3914	invoice total unclear; original OCR note: missing rate_per_kl; bill total calculated from item totals; bottom total OCR unclear
3	2024-11-20	Diesel	8	708008.18	202513238053031	RJ19GF3914	invoice total unclear; bill total calculated from item totals; bottom total OCR unclear
4	2024-11-20	Petrol	4	406620.8	202513238053031	RJ19GF3914	item total from ocr_total_line; invoice total unclear; original OCR note: missing quantity_kl; bill total calculated from item totals; bottom total OCR unclear
5	2024-11-27	Diesel				RJ19GF3914	quantity unclear; allowed values are 4/8/12 KL; material total unclear; invoice total unclear; original OCR note: missing quantity_kl; missing rate_per_kl; missing material_total
6	2024-11-30	Diesel	4	354004.09		RJ19GF3914	bill total from ocr_column
7	2024-11-30	Petrol		613241.6		RJ19GF3914	quantity unclear; allowed values are 4/8/12 KL; item total from ocr_total_line; bill total from ocr_column; original OCR note: missing rate_per_kl
8	2024-11-30	Petrol	8	354004.09		RJ19GF3914	item total from ocr_total_line; bill total from ocr_column; original OCR note: missing quantity_kl; missing material_total
9	2024-12-12	Diesel	8		202513238058775	RJ19GF3914	material total unclear; invoice total unclear; original OCR note: missing material_total
10	2024-12-12	Petrol	4	406020.67	202513238058775	RJ19GF3914	invoice total unclear
11	2024-12-24	Diesel	8	700967.53	20251323061059	FS09ASS829	time unclear; TT/truck number unclear; invoice total unclear; original OCR note: missing time; bill total calculated from item totals; bottom total OCR unclear
12	2024-12-24	Petrol	4	406020.67	20251323061059	FS09ASS829	time unclear; TT/truck number unclear; invoice total unclear; original OCR note: missing time; bill total calculated from item totals; bottom total OCR unclear
13	2024-12-31	Diesel	4	353483.76	202513238063505	RJ19GF3914	invoice total unclear; bill total calculated from item totals; bottom total OCR unclear
14	2024-12-31	Petrol	8	812041.33	202513238063505	RJ19GF3914	invoice total unclear; original OCR note: missing rate_per_kl; bill total calculated from item totals; bottom total OCR unclear
15	2025-01-11	Diesel			20251323066241	RJ19GF3914	quantity unclear; allowed values are 4/8/12 KL; material total unclear; original OCR note: missing quantity_kl; missing rate_per_kl; missing material_total
